concentration	cell_count	cell_count__ctrl	cell_count__time0	log10_concentration	GRvalue	rel_cell_count	ctrl_cell_doublings
2	267052.3333	264959.3333	206893.8333	0.301029996	1.044584516	1.007899325	0.356880303
4	265098.3333	274929.3333	206893.8333	0.602059991	0.830101048	0.96424172	0.410170197
8	260301.3333	307373.3333	206893.8333	0.903089987	0.494945894	0.846857242	0.571101362
16	265923.3333	270830.3333	206893.8333	1.204119983	0.908051695	0.981881645	0.388498687
32	266517.3333	270490.3333	206893.8333	1.505149978	0.924913101	0.98531186	0.386686392
64	245060.3333	268722.3333	206893.8333	1.806179974	0.566430584	0.911946284	0.377225583
128	233925.3333	264419.3333	206893.8333	2.10720997	0.414736984	0.884675604	0.35393702
256	149553.3333	260967.3333	206893.8333	2.408239965	-0.620490628	0.573073003	0.334978583
512	96158.33333	285516.3333	206893.8333	2.709269961	-0.807736422	0.336787504	0.464682634
1024	4236.333333	271432.3333	206893.8333	3.010299957	-0.999951172	0.015607328	0.391701942
